ID,Neighborhood,GrLivArea,SalePrice,is_NAmes,is_Edwards,is_BrkSide
10,BrkSide,1077,118000,0,0,1
15,NAmes,1253,157000,1,0,0
16,BrkSide,854,132000,0,0,1
17,NAmes,1004,149000,1,0,0
20,NAmes,1339,139000,1,0,0
27,NAmes,900,134800,1,0,0
29,NAmes,1600,207500,1,0,0
30,BrkSide,520,68500,0,0,1
34,NAmes,1700,165500,1,0,0
38,NAmes,1297,153000,1,0,0
39,NAmes,1057,109000,1,0,0
40,Edwards,1152,82000,0,1,0
41,NAmes,1324,160000,1,0,0
45,NAmes,1150,141000,1,0,0
52,BrkSide,1176,114500,0,0,1
55,NAmes,1360,130000,1,0,0
56,NAmes,1425,180500,1,0,0
67,NAmes,2207,180000,1,0,0
71,NAmes,2223,244000,1,0,0
74,NAmes,1086,144900,1,0,0
77,NAmes,952,135750,1,0,0
78,BrkSide,1285,127000,0,0,1
81,NAmes,2142,193500,1,0,0
84,NAmes,1065,126500,1,0,0
91,NAmes,1040,109900,1,0,0
92,NAmes,1235,98600,1,0,0
98,Edwards,960,94750,0,1,0
99,Edwards,835,83000,0,1,0
100,NAmes,1225,128950,1,0,0
111,Edwards,1855,136900,0,1,0
118,Edwards,1125,155000,0,1,0
123,NAmes,1080,136000,1,0,0
129,NAmes,1348,155000,1,0,0
130,NAmes,1053,150000,1,0,0
131,NAmes,2157,226000,1,0,0
133,NAmes,1327,150750,1,0,0
137,NAmes,1214,143000,1,0,0
141,NAmes,864,115000,1,0,0
143,NAmes,1385,166000,1,0,0
146,Edwards,1709,130000,0,1,0
147,BrkSide,875,105000,0,0,1
150,BrkSide,1344,115000,0,0,1
156,Edwards,1096,79000,0,1,0
157,NAmes,1040,109500,1,0,0
166,Edwards,1355,127500,0,1,0
172,NAmes,1656,215000,1,0,0
174,NAmes,1362,163000,1,0,0
176,Edwards,2158,243000,0,1,0
183,Edwards,1340,120000,0,1,0
185,BrkSide,1252,127000,0,0,1
192,NAmes,1479,184000,1,0,0
194,Edwards,1709,130000,0,1,0
198,NAmes,3112,235000,1,0,0
201,Edwards,1121,140000,0,1,0
208,NAmes,1100,141000,1,0,0
210,NAmes,1092,145000,1,0,0
211,Edwards,864,98000,0,1,0
212,Edwards,1212,186000,0,1,0
216,NAmes,1236,134450,1,0,0
224,NAmes,864,97000,1,0,0
231,NAmes,1194,148000,1,0,0
240,Edwards,1487,113000,0,1,0
248,NAmes,1375,140000,1,0,0
251,BrkSide,1306,76500,0,0,1
254,NAmes,1302,158000,1,0,0
255,NAmes,1314,145000,1,0,0
261,NAmes,1382,176000,1,0,0
270,Edwards,1113,148000,0,1,0
274,NAmes,1632,139000,1,0,0
276,BrkSide,1548,205000,0,0,1
287,NAmes,1734,159000,1,0,0
288,NAmes,858,88000,1,0,0
290,BrkSide,1396,153575,0,0,1
293,Edwards,1716,131000,0,1,0
295,NAmes,1644,167000,1,0,0
309,Edwards,861,82500,0,1,0
312,NAmes,972,132000,1,0,0
325,NAmes,2978,242000,1,0,0
328,NAmes,1383,145250,1,0,0
329,BrkSide,2134,214500,0,0,1
331,NAmes,1728,119000,1,0,0
332,NAmes,1056,139000,1,0,0
340,NAmes,1215,155000,1,0,0
343,NAmes,1040,87500,1,0,0
346,BrkSide,1577,140200,0,0,1
347,NAmes,958,151500,1,0,0
348,NAmes,1478,157500,1,0,0
353,Edwards,1111,95000,0,1,0
362,BrkSide,1505,145000,0,0,1
363,Edwards,1922,198500,0,1,0
367,NAmes,1394,159000,1,0,0
368,NAmes,1431,165000,1,0,0
369,NAmes,1268,132000,1,0,0
